time, state, current
00:00.021, 1, 0
00:00.048, 1, 30
00:00.074, 1, 40
00:00.100, 1, 20
00:00.126, 1, 0
00:00.152, 1, 0
00:00.177, 1, 50
00:00.203, 1, 20
00:00.228, 1, 0
00:00.254, 1, 10
00:00.279, 1, 0
00:00.305, 1, 10
00:00.331, 1, 20
00:00.356, 1, 10
00:00.382, 1, 0
00:00.408, 1, 0
00:00.433, 1, 10
00:00.459, 1, 20
00:00.485, 1, 0
00:00.511, 1, 0
00:00.537, 1, 10
00:00.562, 1, 10
00:00.588, 1, 10
00:00.613, 1, 20
00:00.639, 1, 20
00:00.664, 1, 0
00:00.690, 1, 10
00:00.716, 1, 20
00:00.741, 1, 20
00:00.767, 1, 20
00:00.793, 1, 10
00:00.818, 1, 20
00:00.844, 1, 10
00:00.870, 1, 30
00:00.895, 1, 20
00:00.921, 1, 10
00:00.947, 1, 20
00:00.972, 1, 10
00:00.998, 1, 20
00:01.024, 1, 30
00:01.049, 1, 40
00:01.075, 1, 60
00:01.101, 1, 60
00:01.126, 1, 60
00:01.152, 1, 70
00:01.178, 1, 70
00:01.203, 1, 70
00:01.229, 1, 90
00:01.255, 1, 100
00:01.280, 1, 110
00:01.306, 1, 120
00:01.332, 1, 100
00:01.357, 2, 20
00:01.382, 2, 40
00:01.407, 2, 50
00:01.431, 2, 40
00:01.456, 2, 50
00:01.480, 2, 50
00:01.505, 2, 40
00:01.530, 2, 50
00:01.554, 2, 40
00:01.579, 2, 50
00:01.603, 2, 50
00:01.628, 2, 40
00:01.652, 2, 50
00:01.677, 2, 40
00:01.702, 2, 40
00:01.726, 2, 40
00:01.751, 2, 40
00:01.776, 2, 50
00:01.800, 2, 40
00:01.825, 2, 40
00:01.849, 2, 50
00:01.874, 2, 40
00:01.898, 2, 40
00:01.923, 2, 50
00:01.948, 2, 40
00:01.972, 2, 50
00:01.997, 2, 40
00:02.021, 2, 40
00:02.046, 2, 40
00:02.071, 2, 50
00:02.096, 2, 40
00:02.120, 2, 50
00:02.145, 2, 50
00:02.169, 2, 50
00:02.193, 2, 50
00:02.218, 2, 40
00:02.242, 2, 50
00:02.266, 2, 40
00:02.291, 2, 40
00:02.316, 2, 50
00:02.340, 2, 40
00:02.365, 2, 40
00:02.389, 2, 50
00:02.413, 2, 50
00:02.438, 2, 40
00:02.463, 2, 40
00:02.487, 2, 40
00:02.512, 2, 50
00:02.537, 2, 40
00:02.561, 2, 40
00:02.585, 2, 50
00:02.610, 2, 40
00:02.634, 2, 40
00:02.659, 2, 50
00:02.683, 2, 50
00:02.708, 2, 40
00:02.732, 2, 50
00:02.757, 2, 50
00:02.782, 2, 40
00:02.806, 2, 40
00:02.831, 2, 40
00:02.855, 2, 50
00:02.880, 2, 50
00:02.904, 2, 40
00:02.929, 2, 40
00:02.954, 2, 50
00:02.978, 2, 40
00:03.003, 2, 50
00:03.027, 2, 40
00:03.056, 2, 40
00:03.083, 1, 30
00:03.108, 1, 50
00:03.134, 1, 50
00:03.160, 1, 40
00:03.185, 1, 60
00:03.211, 1, 50
00:03.237, 1, 40
00:03.262, 1, 30
00:03.288, 1, 50
00:03.313, 1, 30
00:03.339, 1, 0
00:03.365, 1, 20
00:03.391, 1, 30
00:03.416, 1, 10
00:03.442, 1, 0
00:03.468, 1, 30
00:03.493, 1, 40
00:03.519, 1, 0
00:03.545, 1, 10
00:03.571, 1, 20
00:03.596, 1, 20
00:03.622, 1, 50
00:03.648, 1, 30
00:03.674, 1, 20
00:03.699, 1, 10
00:03.725, 1, 40
00:03.751, 1, 30
00:03.776, 1, 0
00:03.802, 1, 10
00:03.827, 1, 30
00:03.853, 1, 40
00:03.879, 1, 40
00:03.905, 1, 10
00:03.930, 1, 0
00:03.956, 1, 20
00:03.981, 1, 30
00:04.007, 1, 20
00:04.033, 1, 20
00:04.059, 1, 20
00:04.084, 1, 50
00:04.110, 1, 40
00:04.136, 1, 30
00:04.161, 1, 10
00:04.187, 1, 10
00:04.212, 1, 30
00:04.238, 1, 1000
00:04.263, 1, 1000
00:04.289, 1, 1000
00:04.315, 1, 1000
00:04.340, 0, 0
00:04.364, 0, 0
00:04.387, 0, 0
00:04.411, 0, 0
00:04.434, 0, 0
00:04.458, 0, 0
00:04.482, 0, 0
00:04.505, 0, 0
00:04.529, 0, 0
00:04.552, 0, 0
00:04.575, 0, 0
00:04.599, 0, 0
00:04.622, 0, 0
00:04.646, 0, 0
00:04.669, 0, 0
00:04.693, 0, 0
00:04.716, 0, 0
00:04.740, 0, 0
00:04.763, 0, 0
00:04.787, 0, 0
00:04.810, 0, 0
00:04.834, 0, 0
00:04.857, 0, 0
00:04.881, 0, 0
00:04.904, 0, 0
00:04.928, 0, 0
00:04.951, 0, 0
00:04.975, 0, 0
00:04.998, 0, 0
00:05.022, 0, 0
00:05.045, 0, 0
00:05.069, 0, 0
00:05.093, 0, 0
00:05.117, 0, 0
00:05.141, 0, 0
00:05.164, 0, 0
00:05.188, 0, 0
00:05.211, 0, 0
00:05.235, 0, 0
00:05.258, 0, 0
00:05.281, 0, 0
00:05.305, 0, 0
00:05.328, 0, 0
00:05.352, 0, 0
00:05.376, 0, 0
00:05.399, 0, 0
00:05.422, 0, 0
00:05.446, 0, 0
00:05.469, 0, 0
00:05.493, 0, 0
00:05.517, 0, 0
00:05.541, 0, 0
00:05.564, 0, 0
00:05.588, 0, 0
00:05.611, 0, 0
00:05.635, 0, 0
00:05.658, 0, 0
00:05.682, 0, 0
00:05.705, 0, 0
00:05.729, 0, 0
00:05.752, 0, 0
00:05.776, 0, 0
00:05.799, 0, 0
00:05.823, 0, 0
00:05.846, 0, 0
00:05.870, 0, 0
00:05.893, 0, 0
00:05.917, 0, 0
00:05.940, 0, 0
00:05.964, 0, 0
00:05.987, 0, 0
00:06.011, 0, 0
00:06.034, 0, 0
00:06.058, 0, 0
00:06.087, 0, 0
00:06.112, 1, 40
00:06.138, 1, 40
00:06.164, 1, 20
00:06.189, 1, 30
00:06.215, 1, 0
00:06.240, 1, 10
00:06.266, 1, 30
00:06.292, 1, 10
00:06.318, 1, 10
00:06.343, 1, 10
00:06.369, 1, 10
00:06.395, 1, 10
00:06.420, 1, 20
00:06.446, 1, 20
00:06.472, 1, 10
00:06.497, 1, 0
00:06.523, 1, 10
00:06.549, 1, 10
00:06.575, 1, 0
00:06.600, 1, 10
00:06.626, 1, 10
00:06.652, 1, 10
00:06.677, 1, 20
00:06.703, 1, 20
00:06.729, 1, 20
00:06.754, 1, 20
00:06.780, 1, 20
00:06.805, 1, 10
00:06.831, 1, 20
00:06.857, 1, 10
00:06.883, 1, 10
00:06.908, 1, 0
00:06.934, 1, 10
00:06.960, 1, 10
00:06.985, 1, 20
00:07.011, 1, 0
00:07.037, 1, 20
00:07.062, 1, 30
00:07.088, 1, 40
00:07.114, 1, 50
00:07.140, 1, 60
00:07.165, 1, 60
00:07.191, 1, 70
00:07.217, 1, 70
00:07.243, 1, 80
00:07.268, 1, 80
00:07.294, 1, 90
00:07.319, 1, 110
00:07.345, 2, 20
00:07.369, 2, 40
00:07.394, 2, 40
00:07.418, 2, 40
00:07.443, 2, 50
00:07.468, 2, 40
00:07.493, 2, 50
00:07.517, 2, 40
00:07.542, 2, 50
00:07.566, 2, 50
00:07.590, 2, 40
00:07.615, 2, 50
00:07.640, 2, 50
00:07.664, 2, 40
00:07.689, 2, 40
00:07.713, 2, 40
00:07.738, 2, 40
00:07.762, 2, 40
00:07.787, 2, 40
00:07.811, 2, 50
00:07.835, 2, 40
00:07.860, 2, 40
00:07.884, 2, 50
00:07.909, 2, 50
00:07.933, 2, 50
00:07.958, 2, 50
00:07.983, 2, 40
00:08.007, 2, 40
00:08.031, 2, 40
00:08.056, 2, 50
00:08.080, 2, 40
00:08.105, 2, 40
00:08.130, 2, 40
00:08.154, 2, 50
00:08.179, 2, 40
00:08.203, 2, 40
00:08.228, 2, 50
00:08.252, 2, 40
00:08.277, 2, 40
00:08.302, 2, 50
00:08.326, 2, 50
00:08.351, 2, 40
00:08.375, 2, 50
00:08.400, 2, 50
00:08.424, 2, 50
00:08.449, 2, 50
00:08.473, 2, 50
00:08.498, 2, 40
00:08.522, 2, 50
00:08.547, 2, 40
00:08.571, 2, 40
00:08.596, 2, 50
00:08.620, 2, 40
00:08.645, 2, 50
00:08.669, 2, 40
00:08.694, 2, 50
00:08.718, 2, 40
00:08.743, 2, 50
00:08.767, 2, 50
00:08.792, 2, 50
00:08.816, 2, 40
00:08.841, 2, 40
00:08.865, 2, 40
00:08.889, 2, 50
00:08.914, 2, 50
00:08.938, 2, 50
00:08.962, 2, 40
00:08.987, 2, 50
00:09.011, 2, 40
00:09.036, 2, 50
00:09.060, 2, 40
00:09.084, 2, 50
00:09.113, 2, 50
00:09.140, 1, 40
00:09.165, 1, 40
00:09.191, 1, 20
00:09.216, 1, 50
00:09.242, 1, 40
00:09.268, 1, 60
00:09.293, 1, 60
00:09.319, 1, 30
00:09.344, 1, 30
00:09.370, 1, 10
00:09.395, 1, 10
00:09.421, 1, 0
00:09.447, 1, 30
00:09.473, 1, 0
00:09.499, 1, 20
00:09.524, 1, 20
00:09.550, 1, 20
00:09.576, 1, 40
00:09.602, 1, 40
00:09.627, 1, 20
00:09.653, 1, 0
00:09.679, 1, 20
00:09.704, 1, 20
00:09.730, 1, 20
00:09.756, 1, 20
00:09.781, 1, 50
00:09.807, 1, 30
00:09.833, 1, 20
00:09.858, 1, 20
00:09.884, 1, 10
00:09.909, 1, 30
